,candle_begin_time,open,high,low,close,volume,volume_value,pos,start_time,equity_change,equity_curve
143,2005-08-09,800.84,814.26,794.18,814.19,14016401,6101487287,1.0,2005-07-28,0.017599436592652618,1.1681678556119877
144,2005-08-10,814.76,823.99,804.52,823.84,15201123,6584951194,1.0,2005-07-28,0.011861923616296455,1.18202457348627
145,2005-08-11,823.72,833.68,820.29,832.84,16463304,7294366339,1.0,2005-07-28,0.01093324462998102,1.1949479373068443
146,2005-08-12,833.46,839.52,811.38,816.39,17643087,7822259553,1.0,2005-07-28,-0.019767419540151376,1.1713269001014615
147,2005-08-15,814.84,839.68,814.56,839.67,12625261,5910134742,1.0,2005-07-28,0.028538945372969415,1.2047553345173467
148,2005-08-16,841.32,846.66,830.73,839.26,15515941,7207373072,1.0,2005-07-28,-0.0004886726803569053,1.2041666034988538
149,2005-08-17,837.9,854.61,823.44,854.53,16792375,7512966671,1.0,2005-07-28,0.018208975860868337,1.2260932441144283
150,2005-08-18,855.88,865.69,819.88,820.66,21332120,9560360288,1.0,2005-07-28,-0.03966658007310753,1.1774583182696672
151,2005-08-19,816.96,828.12,803.28,820.87,13860548,6154915639,1.0,2005-07-28,0.0002560983697974528,1.1777598634254804
152,2005-08-22,819.48,833.27,817.16,831.5,9724413,4163217016,1.0,2005-07-28,0.012960136506109832,1.193023792026892
153,2005-08-23,830.74,830.74,809.46,816.91,9183851,3972885901,1.0,2005-07-28,-0.0175605958761903,1.1720735833444276
154,2005-08-24,816.74,826.73,816.61,826.72,8841058,3843597951,1.0,2005-07-28,0.012018414854322756,1.1861600499088536
155,2005-08-25,827.01,836.58,821.58,836.42,10375849,4467612011,1.0,2005-07-28,0.011742525252829372,1.2000885642488057
156,2005-08-26,837.41,842.3,830.58,840.43,11880801,5071290126,1.0,2005-07-28,0.004798043009706543,1.2058466407955284
157,2005-08-29,839.3,840.04,826.36,832.25,10782557,4519192344,1.0,2005-07-28,-0.009740792391177866,1.19410073901194
158,2005-08-30,831.49,834.21,827.09,827.55,9242036,4041234187,1.0,2005-07-28,-0.005651841216136599,1.1873518712389732
159,2005-08-31,827.23,845.15,822.17,845.14,11349943,4923412337,1.0,2005-07-28,0.021272545430277345,1.212609867861629
160,2005-09-01,845.93,865.4,842.81,865.4,17034066,7438827221,1.0,2005-07-28,0.023991168685381092,1.241701795751055
161,2005-09-02,866.55,874.16,861.48,872.48,15365548,6860942930,1.0,2005-07-28,0.008187456580670327,1.2518681752899072
162,2005-09-05,873.86,884.4,871.88,884.29,12504192,5688037076,1.0,2005-07-28,0.013546414491520054,1.2688265004811272
163,2005-09-06,885.36,892.22,860.36,862.49,17050904,7680093922,1.0,2005-07-28,-0.024671031870935778,1.2375232414490693
164,2005-09-07,860.38,888.18,857.76,888.12,13957595,6427215445,1.0,2005-07-28,0.029739133027735898,1.2743261097514382
165,2005-09-08,890.19,894.74,878.28,889.69,14699157,6867746252,1.0,2005-07-28,0.0017690989808514246,1.2765805187734718
166,2005-09-09,889.55,893.83,875.61,879.5,10399467,4923128531,1.0,2005-07-28,-0.01146196380748099,1.261948399069955
167,2005-09-12,878.73,883.56,874.77,883.56,7656523,3536951802,1.0,2005-07-28,0.004619739615890017,1.2677782720823474
168,2005-09-13,884.25,904.31,883.46,904.31,12496272,5855690757,1.0,2005-07-28,0.023502164305159612,1.297573805335338
169,2005-09-14,906.21,915.13,902.56,914.98,16597334,7824404409,1.0,2005-07-28,0.011807702737947956,1.3128951711092858
170,2005-09-15,914.91,920.95,910.77,918.51,13582385,6488990073,1.0,2005-07-28,0.0038608036557932213,1.3179640015855778
171,2005-09-16,918.26,918.8,910.84,917.64,10961532,5247184805,1.0,2005-07-28,-0.0009478699730437468,1.3167147430829222
172,2005-09-19,918.13,930.59,915.93,930.49,12056209,5691535255,1.0,2005-07-28,0.014013431363235851,1.3351664347600756
173,2005-09-20,931.88,931.89,915.14,924.16,15747606,7657830324,1.0,2005-07-28,-0.006807714991305502,1.3260770022062716
174,2005-09-21,921.92,922.18,908.98,909.79,15603139,7226512985,1.0,2005-07-28,-0.015560411800511154,1.3054426979727547
175,2005-09-22,906.05,907.29,866.95,880.01,14408322,6671951660,1.0,2005-07-28,-0.03783857058661999,1.256046612298725
176,2005-09-23,876.31,883.54,868.16,868.55,9799784,4676865548,0.0,,0.0,1.256046612298725
177,2005-09-26,867.22,875.03,862.19,874.84,6965690,3388518590,-1.0,2005-09-26,-0.009834003790239132,1.2436946451526623
178,2005-09-27,875.1,877.66,856.49,856.96,8805881,4224674796,-1.0,2005-09-26,0.02081677625660805,1.2695843583123467
179,2005-09-28,855.8,863.81,849.89,852.36,7510782,3557058811,-1.0,2005-09-26,0.005246334688843168,1.2762450227717734
180,2005-09-29,852.04,871.49,852.04,871.29,8835360,4257378974,-1.0,2005-09-26,-0.021477131531957405,1.248834940550698
181,2005-09-30,871.23,873.11,866.82,869.51,7529963,3718773617,-1.0,2005-09-26,0.002063833632453216,1.2514123281023892
182,2005-10-10,870.05,870.05,857.97,858.75,6119495,2951252757,-1.0,2005-09-26,0.012450063502686737,1.266992491055309
183,2005-10-11,857.64,878.69,854.27,878.62,7635268,3795362544,-1.0,2005-09-26,-0.022708243913655446,1.2382213165316551
184,2005-10-12,879.05,891.86,874.98,887.71,9459205,4850252978,-1.0,2005-09-26,-0.010629805822523597,1.225059264371614
185,2005-10-13,888.3,890.86,881.23,883.45,8287049,4252389601,-1.0,2005-09-26,0.005035147814507646,1.231227618849257
186,2005-10-14,882.87,883.84,873.46,876.05,7954050,3964014247,-1.0,2005-09-26,0.008702681610150753,1.2419426008057262
187,2005-10-17,874.85,878.88,868.46,878.76,7687888,3784372720,-1.0,2005-09-26,-0.003159566429541516,1.2380186006568028
188,2005-10-18,878.78,893.98,878.45,893.7,9716211,4925305812,-1.0,2005-09-26,-0.01830191839120221,1.2153604852607915
189,2005-10-19,893.47,900.68,884.99,886.31,9843633,4721479562,0.0,,0.0,1.2153604852607915
190,2005-10-20,885.34,886.83,872.48,886.55,9521936,4825303991,0.0,,0.0,1.2153604852607915
191,2005-10-21,886.43,898.25,885.28,895.03,10024927,5016318205,0.0,,0.0,1.2153604852607915
192,2005-10-24,895.43,899.44,891.96,897.76,8789354,4214112192,1.0,2005-10-24,0.0015515210624976739,1.217246142652201
193,2005-10-25,896.69,896.69,877.54,877.58,8676966,4083950279,1.0,2005-10-24,-0.022494052004534137,1.1898653446170637
194,2005-10-26,875.54,876.41,853.6,854.03,9382014,4389740208,1.0,2005-10-24,-0.03123748773187085,1.15269694051201
195,2005-10-27,851.08,856.97,841.86,847.59,8103937,3752921927,-1.0,2005-10-27,0.003050260769239088,1.1562129667684757
196,2005-10-28,846.7,850.91,814.12,825.06,8668967,3980409645,-1.0,2005-10-27,0.02638775446775865,1.186722830648001
197,2005-10-31,823.23,831.18,819.35,828.66,6492575,2962992897,-1.0,2005-10-27,-0.004108017466813774,1.1818477525314324
198,2005-11-01,827.89,827.89,808.4,823.33,6944240,3125533566,-1.0,2005-10-27,0.006107236717921349,1.1890655765206852
199,2005-11-02,823.21,843.15,823.21,840.32,9095993,4040775904,-1.0,2005-10-27,-0.019349362043424856,1.1660579161872129
200,2005-11-03,839.86,842.52,826.12,828.91,7559624,3426888486,-1.0,2005-10-27,0.013250876340099804,1.181509205440004
201,2005-11-04,828.04,835.22,820.9,835.12,6449610,3104914686,-1.0,2005-10-27,-0.0071175998564896314,1.173099695688923
202,2005-11-07,835.06,842.06,829.74,842.0,6132963,2821363619,-1.0,2005-10-27,-0.00794204958909106,1.163782879732814
203,2005-11-08,841.93,849.11,835.81,848.97,7297838,3303265390,-1.0,2005-10-27,-0.008110355525413948,1.154344186823791
204,2005-11-09,848.74,852.03,844.76,845.11,7612747,3571895901,-1.0,2005-10-27,0.0045282569543116935,1.159571353915445
205,2005-11-10,843.62,843.62,820.64,821.27,8439580,3914752386,-1.0,2005-10-27,0.027841193670057107,1.1918552045540554
206,2005-11-11,818.72,828.39,814.72,823.96,6380094,2808468946,-1.0,2005-10-27,-0.0030563836025134794,1.188212437850286
207,2005-11-14,821.78,827.58,819.19,827.57,4468436,1921799553,-1.0,2005-10-27,-0.004114264288522573,1.1833238178500602
208,2005-11-15,827.52,832.99,816.79,820.49,5871616,2615555590,-1.0,2005-10-27,0.00810230765630271,1.192911471479312
